video_id,publishedAt,channelId,title,description,thumbnails.default.url,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,tags,level,rVersion,relevant
aHiwr3-xJLM,2020-09-17T00:00:00Z,UCKacOPkhUImP-pFWRo8wx6A,R advanced functions that will make your life easier,"Download the source code in:
https://github.com/mariocastro73/ML2020-2021/blob/master/scripts/advanced-useful-functions.R",https://i.ytimg.com/vi/aHiwr3-xJLM/default.jpg,Mario Castro,4630,97,6,0,15,"machine learning,r-studio,r language",advanced,4.0.2,TRUE
H3ao7LzcvW8,2020-12-23T00:00:00Z,UCTZXht1RTL2Duc3eU8MYGzQ,Advanced functional programming R tricks to feel like a hacker,"In this video I show you how to use the full power of R data frames using functional programming. The goal is to avoid writing loops which are quite clunky and can easily lead to mistakes.

Follow me on twitter: https://twitter.com/brodriguesco​​​​
Read my blog: https://www.brodrigues.co/​
Find these videos useful? You can buy me a coffee to express your gratitude: https://www.buymeacoffee.com/brodriguesco
Learn R by reading my free ebook: https://b-rodrigues.github.io/modern_R/",https://i.ytimg.com/vi/H3ao7LzcvW8/default.jpg,Bruno Rodrigues,2192,66,1,0,10,"rstats,data science,statistics",advanced,4.0.3,TRUE
VVUn_R-ExlQ,2016-08-26T00:00:00Z,UCGwuewhdHD2q0BvuB2oWMRw,"UC Berkeley R bootcamp, Module 10: Advanced topics","Module 10 of the R bootcamp held August 2016 at UC Berkeley, sponsored by the Department of Statistics and D-Lab. Module presented by Chris Paciorek.

Accompanying materials available at https://github.com/berkeley-scf/r-bootcamp-2016.",https://i.ytimg.com/vi/VVUn_R-ExlQ/default.jpg,berkeley-scf,6581,65,4,0,3,"R language,statistical computing",advanced,3.3.1,TRUE
BKbG0LFNjic,2019-08-29T00:00:00Z,UCmG1AOBM5fskgWhCG3i8bhA,Advanced R with Hadley Wickham,"CRC Press author Hadley Wickham discusses his new book Advanced R, and how the second edition is even better than the first.

Learn more with CRC Press: https://www.routledge.com/Advanced-R-Second-Edition/Wickham/p/book/9780815384571",https://i.ytimg.com/vi/BKbG0LFNjic/default.jpg,Taylor & Francis Books,2494,64,1,0,2,"Hadley Wickham,Advanced R,Bioinformatics,Bioscience,R Programming",advanced,3.6.1,TRUE
WkF7nqEYF1E,2021-08-27T00:00:00Z,UC3xfbCMLCw1Hh4dWop3XtHg,R Markdown Advanced Tips to Become a Better Data Scientist &amp; RStudio Connect | With Tom Mock,"R Markdown is an incredible tool for being a more effective data scientist. It lets you share insights in ways that delight end users. 

In this presentation, Tom Mock will teach you some advanced tips that will let you get the most out of R Markdown. Additionally, RStudio Connect will be highlighted, specifically how it works wonderfully with tools like R Markdown.

Please provide feedback: https://docs.google.com/forms/d/e/1FAIpQLSdOwz3yJluPR2fEqE0hBt92NtKZzzNACR8KJhHUt9rhFj3HqA/viewform?usp=sf_link

More resources if you're interested: https://docs.google.com/document/d/1VKGs1G9GcQcv4pCYFbK68_LDh72ODiZsIxXLN0z-zD4/edit",https://i.ytimg.com/vi/WkF7nqEYF1E/default.jpg,RStudio,17723,795,2,0,0,"rstudio,data science,machine learning,python,stats,tidyverse,data visualization,data viz,ggplot,technology,coding,connect,server pro,shiny,rmarkdown,package manager,CRAN,interoperability,serious data science,dplyr,forcats,ggplot2,tibble,readr,stringr,tidyr,purrr,github,data wrangling,tidy data,odbc,rayshader,plumber,blogdown,gt,lazy evaluation,tidymodels,statistics,debugging,programming education,rstats,open source,OSS,reticulate",advanced,4.1.1,TRUE
JLvigQQZ5VE,2018-02-05T00:00:00Z,UCifB-UuE1p7fIhpc9YPON_A,Advanced programming in R : Functions,NA,https://i.ytimg.com/vi/JLvigQQZ5VE/default.jpg,Data Science for Engineers IITM,14586,65,10,0,8,",",advanced,3.4.3,TRUE
bzUmK0Y07ck,2019-06-29T00:00:00Z,UCPyA0XmU6aS4JCwVoIBTmIQ,&quot;The Joy of Functional Programming (for Data Science)&quot; with Hadley Wickham,"Title: The Joy of Functional Programming for Data Science
Speaker: Hadley Wickham
Date: 6/20/2019

Abstract

Functional programming (FP) provides a rich set of tools for reducing duplication in your code. The goal of FP is to make it easy to express repeated actions using high-level verbs. I think that learning a little about FP is really important for data scientists, because it's a really good fit for many problems that you'll encounter in practice.

In this talk, I'll introduce you to the basics of functional programming in R, using the purrr package. I'll begin by briefly dissecting the for loop that you're already familiar with, then continue to show why functional programming provides elegant alternatives. I'll next dive into two examples showing where FP is particularly useful in data science: when ingesting unruly datasets spread across multiple files, and producing multiple reports for different stakeholders.

You'll get the most out of this talk if you're familiar with R, or you've done data science in other languages like Python.

SPEAKER
Hadley Wickham, Chief Scientist, RStudio
Hadley is Chief Scientist at RStudio, a member of the R Foundation, and Adjunct Professor at Stanford University and the University of Auckland. He builds tools (both computational and cognitive) to make data science easier, faster, and more fun. His work includes packages for data science (the tidyverse: including ggplot2, dplyr, tidyr, purrr, and readr) and principled software development (roxygen2, testthat, devtools). He is also a writer, educator, and speaker promoting the use of R for data science. Learn more on his website, http://hadley.nz.

MODERATOR
Andrew Conklin, Director of Engineering, Origent Data Sciences; ACM Practitioners Board
Andrew Conklin leads the engineering, product development, and compliance for Origent's emerging realtime analytics services in patient disease progression modeling for clinical trials. Andrew gives talks on Fast and Iterative R model deployment workflows with ""Serverless"" Functions, at places such as Dataiku EGG Conference 2018. He also serves on ACM's Practitioners Board and is Chair of the ACM Distinguished Speakers Program committee. He enjoys activating local tech communities, courageous ideas, and thrives on ingenuity.",https://i.ytimg.com/vi/bzUmK0Y07ck/default.jpg,Association for Computing Machinery (ACM),20456,331,3,0,13,"ACM,TechTalk,Hadley Wickham,Functional Programming,Data Science,Andrew Conklin,programming in R,datasets,Python,RStudio,Origent Data Sciences",advanced,3.6.0,TRUE
UwzGhMndWzs,2020-05-09T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club - Chapter 6: Functions (2020-05-07) (advr01),"Asmae Toumi presenting Chapter 6 (Functions) of Hadley Wickham's ""Advanced R"" (2nd Edition) to the R4DS Book Club on May 7, 2020.

Join the conversation at r4ds.io/join!",https://i.ytimg.com/vi/UwzGhMndWzs/default.jpg,R4DS Online Learning Community,519,8,0,0,0,rstats,advanced,4.0.0,TRUE
iROHLA_TXQM,2020-12-18T00:00:00Z,UCsvqVGtbbyHaMoevxPAq9Fg,R For Data Science Full Course | Data Science With R Full Course |Data Science Tutorial |Simplilearn,"In this video on R for Data Science Full Course, we’ll start by learning data science from an animated video. You will then learn the essential concepts in data science and understand the important packages in R for data science. You will look at some of the widely used data science algorithms such as Linear regression, logistic regression, decision trees, random forest, including time-series analysis. Finally, you will get an idea about the Salary structure, Skills, Jobs, and resume of a data scientist.

Dataset Link - https://drive.google.com/drive/folders/1Wn2TRSbM2CHzxEk-qclzGJcyZT4LHeRV

🔥Free DataScience Course: https://www.simplilearn.com/learn-data-science-with-r-basics-skillup?utm_campaign=RForDSFullCourse&utm_medium=Description&utm_source=youtube

00:00:00 Data science in 5 min
00:05:23 Data science concept
00:17:40 Data science package in R
01:18:51 Linear Regression in R
01:47:07 Use Case :Linear Regression
02:04:31 Logistic Regression in R
02:22:37 Decision tree in R
03:22:03 Random forest in R
04:02:10 What is clustering
04:43:54 Time series analysis
05:54:16 Salary, Skills, and resume

Start learning today's most in-demand skills for FREE. Visit us at https://www.simplilearn.com/skillup-free-online-courses?utm_campaign=DataScience&utm_medium=Card&utm_source=youtube  
Choose over 300 in-demand skills and get access to 1000+ hours of video content for FREE in various technologies like Data Science, Cybersecurity, Project Management & Leadership, Digital Marketing, and much more. 

✅Subscribe to our Channel to learn more about the top Technologies: https://bit.ly/2VT4WtH

⏩ Check out the Data Science training videos: https://bit.ly/3fKucdD

#RForDataScience #DataScienceWithR #DataScienceWithRFullCourse #DataScienceWithRTutorial #DataScienceFullCourse #DataScienceTutorial #DataScience #Simplilearn

This Data Science with Python course will establish your mastery of data science and analytics techniques using Python. With this Python for Data Science Course, you’ll learn the essential concepts of Python programming and become an expert in data analytics, machine learning, data visualization, web scraping and natural language processing. Python is a required skill for many data science positions, so jumpstart your career with this interactive, hands-on course.

Why learn Data Science? 
Data Scientists are being deployed in all kinds of industries, creating a huge demand for skilled professionals. Data scientist is the pinnacle rank in an analytics organization. Glassdoor has ranked data scientist first in the 25 Best Jobs for 2016, and good data scientists are scarce and in great demand. As a data you will be required to understand the business problem, design the analysis, collect and format the required data, apply algorithms or techniques using the correct tools, and finally make recommendations backed by data.

You can gain in-depth knowledge of Data Science by taking our Data Science with python certification training course. With Simplilearn’s Data Science certification training course, you will prepare for a career as a Data Scientist as you master all the concepts and techniques. Those who complete the course will be able to: 

1. Gain an in-depth understanding of data science processes, data wrangling, data exploration, data visualization, hypothesis building, and testing. You will also learn the basics of statistics.
Install the required Python environment and other auxiliary tools and libraries
2. Understand the essential concepts of Python programming such as data types, tuples, lists, dicts, basic operators and functions
3. Perform high-level mathematical computing using the NumPy package and its large library of mathematical functions
Perform scientific and technical computing using the SciPy package and its sub-packages such as Integrate, Optimize, Statistics, IO and Weave
4. Perform data analysis and manipulation using data structures and tools provided in the Pandas package
5. Gain expertise in machine learning using the Scikit-Learn package

The Data Science with python is recommended for: 
1. Analytics professionals who want to work with Python
2. Software professionals looking to get into the field of analytics
3. IT professionals interested in pursuing a career in analytics
4. Graduates looking to build a career in analytics and data science
5. Experienced professionals who would like to harness data science in their fields

Learn more at: https://bit.ly/3b45YIH

For more information about Simplilearn’s courses, visit: 
- Facebook: https://www.facebook.com/Simplilearn 
- Twitter: https://twitter.com/simplilearn 
- LinkedIn: https://www.linkedin.com/company/simplilearn
- Website: https://www.simplilearn.com 

Get the Android app: http://bit.ly/1WlVo4u 
Get the iOS app: http://apple.co/1HIO5J0",https://i.ytimg.com/vi/iROHLA_TXQM/default.jpg,Simplilearn,32941,746,11,0,84,"r for data science full course,data science with r full course,data science tutorial,data science with r,data science with r tutorial,data science with r programming,data science with r for beginners,data science with r language,data science with r training,introduction to data science with r,r data science,machine learning,data science simplilearn,machine learning certificati,simplilearn",advanced,4.0.3,TRUE
8KLxWewjyRs,2020-09-18T00:00:00Z,UCKacOPkhUImP-pFWRo8wx6A,Advanced R-studio: the wonderful SNIPPETS,"Here you have an example

snippet with
 with(${1:dataframe},
  {
   ${2:commands};
  }
 )",https://i.ytimg.com/vi/8KLxWewjyRs/default.jpg,Mario Castro,907,19,0,0,0,"machine lerning,r-studio",advanced,4.0.2,TRUE
